approach,mean_f1,mean_mcc,mean_pr_auc,mean_precision,mean_recall,mean_roc_auc,metrics,name,std_f1,std_mcc,std_pr_auc,std_precision,std_recall,std_roc_auc
RF,0.27599206349,0.030479035225,0.53431485183,0.2222985348,0.54166666667,0.516071428575,delta-process,DataDog/ansible-datadog,0.30513477466592,0.306660940064239,0.266334281861856,0.290031288619171,0.474110432025349,0.237840559272188
RF,0.961460695390476,0.962599509330952,0.974374638688095,0.968565759638095,0.976190476190476,0.994687114613095,ico-delta,automium/service-kubernetes,0.122471286758378,0.115398328555126,0.076622154011095,0.128255375205121,0.110198971632681,0.034008309398147
RF,0.963312547241667,0.963446335310714,0.974368364769047,0.960232426304762,0.986111111111905,0.995478714146428,ico,automium/service-kubernetes,0.116513628735058,0.109973193610023,0.075846304536339,0.14146470934031,0.07412286433876,0.033010728499179
RF,0.093225858626191,0.012103015745238,0.540342525813095,0.075800590702381,0.270833333333333,0.492470821267857,process,automium/service-kubernetes,0.164084163079283,0.13187615842192,0.16391620333208,0.164705500935765,0.433278302035762,0.088750184012032
RF,0.039682539682143,0.019254045410714,0.505519429908333,0.071428571428572,0.028769841267857,0.489076245817857,delta,automium/service-kubernetes,0.124127605291403,0.129918672673999,0.20635152234284,0.234685859539543,0.090082187309729,0.09564610131806
RF,0.961063869994048,0.961655030219048,0.972841449654762,0.962613378685714,0.980158730159524,0.995312189203572,ico-process,automium/service-kubernetes,0.117374056125657,0.11145829764336,0.077530729180719,0.138010528430638,0.091121092417029,0.02922919295543
RF,0.096835638570238,0.022562408367857,0.546159623821429,0.094485523676191,0.24999999999881,0.510952680182143,delta-process,automium/service-kubernetes,0.163673961209223,0.139626208313834,0.154876471979625,0.212650918906097,0.410903924057628,0.093986546427
RF,0.654680765496296,0.645570754051852,0.695409464225926,0.703864037203704,0.66203570092963,0.933763418137037,ico-delta,openstack/openstack-ansible,0.255685964853887,0.251750953984827,0.220862949326168,0.262505544809526,0.252072271864376,0.067280927951518
RF,0.698647212714815,0.696570062974074,0.758383690296296,0.776352145796296,0.679936935496296,0.942702731440741,ico,openstack/openstack-ansible,0.251151447402169,0.243863317095574,0.176538970736449,0.2686261348633,0.25091479872499,0.064225466714529
RF,0.0771685105,0.067223735781482,0.360124901333333,0.154320987655556,0.051739618403704,0.582592717074074,process,openstack/openstack-ansible,0.126759938001051,0.141035613920437,0.21335883795009,0.252872074712752,0.085330898560197,0.094969431705974
RF,0.026788540674074,0.013143931966667,0.414489750533333,0.027248677248148,0.027777777777778,0.532526447388889,delta,openstack/openstack-ansible,0.074259039731709,0.057117076759251,0.206161868064048,0.071477648990428,0.083301275885202,0.157044956165847
RF,0.6186580126,0.613433101422222,0.668081343848148,0.716049382718518,0.589528886755556,0.920240640985185,ico-process,openstack/openstack-ansible,0.255338347373888,0.25045527180499,0.218547326404555,0.257940225698648,0.24463623194127,0.091093414463618
RF,0.045156695155556,0.044764825914815,0.390969078314815,0.12037037037037,0.034836459837037,0.572694225818518,delta-process,openstack/openstack-ansible,0.100088675933955,0.123254170484967,0.225444864152339,0.288983383625073,0.08870626681996,0.120359624327335
RF,0.602976190475,0.5532583921625,0.68029913125,0.6950320512875,0.6145833333375,0.864907821825,ico-delta,AlbanAndrieu/ansible-jenkins-slave,0.245740354842339,0.328183191136067,0.204924538967333,0.327926304918446,0.210712604252741,0.14745929111619
RF,0.6416756854125,0.61784335455,0.725144216725,0.784722222225,0.6145833333375,0.8783118559875,ico,AlbanAndrieu/ansible-jenkins-slave,0.240178835415797,0.291666927397863,0.204913672084591,0.333911535561833,0.210712604252741,0.159378455446834
RF,0,-0.0572687439875,0.3723518911125,0,0,0.505793242225,process,AlbanAndrieu/ansible-jenkins-slave,0,0.112456388752066,0.261261566356814,0,0,0.203493472755937
