id,full_name,comments_ratio,commit_frequency,core_contributors,has_ci,has_license,iac_ratio,issue_frequency,repository_size,fixing_commit_count,fixed_file_count,clean_count,defective_count
40731097,networktocode/ntc-ansible,0.1023,8.11,6,False,True,0.1818,0.64,1562,0,0,0,0
117596690,rak8s/rak8s,0.1094,2.07,2,False,True,0.4643,0.91,798,1,0,0,0
134294492,CiscoDevNet/FTDAnsible,0.1043,28.67,4,False,True,0.5072,0.07,7127,0,0,0,0
162205933,thegeeklab/ansible-later,0.064,10.57,2,False,True,0.1094,0.04,3115,0,0,0,0
108291509,redhat-cop/pipeline-library,0.0262,4.88,3,True,True,0.1917,1.53,2603,0,0,0,0
45729989,infOpen/ansible-role-openjdk-jdk,0.0524,2.92,2,True,True,0.5517,0.08,416,0,0,0,0
192503917,ansible-community/pytest-molecule,0.1243,6.59,3,True,True,0.5405,0.47,620,0,0,0,0
67062155,savoirfairelinux/ansible-nexus3-oss,0.0289,5.08,5,False,True,0.5119,1.45,2416,0,0,0,0
205429879,ansible-collections/google.cloud,0.1248,48.6,2,True,True,0.5797,3.33,2587,0,0,0,0
222522410,ansible-collections/community.grafana,0.0531,13.75,2,True,True,0.6386,1.08,4159,0,0,0,0
153189733,mawalu/wireguard-private-networking,0.018,2.19,2,True,True,0.6667,0.04,328,0,0,0,0
189933973,apenella/go-ansible,0.1063,5.67,3,False,True,0.15,1.83,1270,0,0,0,0
236051882,sky-uk/clusterverse,0.1,3.3,3,False,True,0.7526,0.6,3259,0,0,0,0
167413753,Venafi/ansible-role-venafi,0.098,12.77,2,False,True,0.3889,0.27,1288,0,0,0,0
